location,support,actual_rainy,tp,fn,fn_rate_among_rainy,recall_among_rainy,mean_probability,variant
Ballarat,590,154,131,23,0.14935064935064934,0.8506493506493507,0.40981373237059243,variable_specific_missing_design
Dartmoor,590,175,149,26,0.14857142857142858,0.8514285714285714,0.4281911175728524,variable_specific_missing_design
NorahHead,592,159,136,23,0.14465408805031446,0.8553459119496856,0.4974058709216559,variable_specific_missing_design
MountGambier,576,177,153,24,0.13559322033898305,0.864406779661017,0.45098430679635076,variable_specific_missing_design
Portland,588,215,186,29,0.13488372093023257,0.8651162790697674,0.49814994473529445,variable_specific_missing_design
Witchcliffe,577,167,145,22,0.1317365269461078,0.8682634730538922,0.4100027876678213,variable_specific_missing_design
SydneyAirport,587,139,122,17,0.1223021582733813,0.8776978417266187,0.43761141220910643,variable_specific_missing_design
Cairns,526,180,158,22,0.12222222222222222,0.8777777777777778,0.5626552952397887,variable_specific_missing_design
Walpole,555,200,176,24,0.12,0.88,0.5196255882640417,variable_specific_missing_design
Darwin,593,188,168,20,0.10638297872340426,0.8936170212765957,0.4451008427829872,variable_specific_missing_design
Albany,566,168,151,17,0.10119047619047619,0.8988095238095238,0.5118787010885482,variable_specific_missing_design
