variant,feature_count,validation_threshold,validation_f1,validation_roc_auc,validation_precision,validation_recall,test_roc_auc,test_f1,test_precision,test_recall,params
hybrid_plus_expanded_missingness,81,0.5600000000000003,0.6713112197150879,0.9063095982290581,0.6468937875751503,0.6976442619407823,0.8973465710866031,0.6797891036906855,0.610479797979798,0.7668517049960349,"{""bagging_temperature"": 0.15599452033620265, ""depth"": 8, ""iterations"": 400, ""l2_leaf_reg"": 5.190609389379256, ""learning_rate"": 0.05107988650278712, ""random_strength"": 0.31203728088487304}"
current_hybrid_baseline,68,0.6000000000000003,0.6711057744787687,0.9063565166985423,0.6779885310983679,0.6643613572509185,0.8971113029941216,0.6821705426356589,0.638121546961326,0.732751784298176,"{""bagging_temperature"": 0.15599452033620265, ""depth"": 8, ""iterations"": 400, ""l2_leaf_reg"": 5.190609389379256, ""learning_rate"": 0.05107988650278712, ""random_strength"": 0.31203728088487304}"
variable_specific_missing_design,82,0.5200000000000002,0.6628753866107951,0.9020101343447725,0.6156412157153447,0.7179598011670629,0.896086572337636,0.6742602952079262,0.586263478668542,0.7933386201427438,"{""bagging_temperature"": 0.15599452033620265, ""depth"": 8, ""iterations"": 400, ""l2_leaf_reg"": 5.190609389379256, ""learning_rate"": 0.05107988650278712, ""random_strength"": 0.31203728088487304}"
