variable,location,support,missing_pct
evaporation,PearceRAAF,2774,0.9956741167988464
evaporation,Nhil,1581,0.9924098671726755
evaporation,Uluru,1533,0.9921722113502935
evaporation,Launceston,3040,0.9496710526315789
evaporation,Bendigo,3046,0.6070256073539068
evaporation,Canberra,3430,0.4650145772594752
evaporation,Adelaide,3102,0.4645390070921986
evaporation,Richmond,2963,0.45730678366520416
evaporation,CoffsHarbour,2965,0.39527824620573354
evaporation,Sale,3012,0.38711819389110225
evaporation,Williamtown,2565,0.2990253411306043
evaporation,Moree,2866,0.21563154221912073
evaporation,Woomera,3002,0.1419053964023984
evaporation,Dartmoor,2955,0.13807106598984772
evaporation,Portland,3008,0.13530585106382978
evaporation,MountGambier,3042,0.13149243918474687
evaporation,Cairns,3000,0.11366666666666667
evaporation,Cobar,3000,0.10966666666666666
evaporation,Albany,3028,0.09247027741083223
evaporation,NorfolkIsland,2976,0.06989247311827956
evaporation,AliceSprings,3043,0.06933946763062768
evaporation,Katherine,1571,0.0547422024188415
evaporation,WaggaWagga,2988,0.04116465863453815
evaporation,Nuriootpa,3014,0.0404777704047777
evaporation,Mildura,3019,0.03875455448824114
evaporation,Townsville,3045,0.02922824302134647
evaporation,Darwin,3204,0.016853932584269662
evaporation,SydneyAirport,3017,0.015246934040437522
evaporation,Sydney,3349,0.015228426395939087
evaporation,Brisbane,3173,0.005988023952095809
evaporation,Hobart,3200,0.0021875
evaporation,Watsonia,3011,0.0009963467286615742
evaporation,MelbourneAirport,3021,0.0009930486593843098
evaporation,PerthAirport,3021,0.00033101621979476995
evaporation,Perth,3205,0.00031201248049921997
evaporation,Melbourne,2447,0.0
humidity_3pm,Katherine,1571,0.5232336091661363
humidity_3pm,Newcastle,2967,0.2915402763734412
humidity_3pm,Albany,3028,0.2311756935270806
humidity_3pm,MountGinini,2919,0.08564576909900651
humidity_3pm,Witchcliffe,2964,0.07860998650472335
humidity_3pm,Dartmoor,2955,0.05482233502538071
humidity_3pm,Cobar,3000,0.03833333333333333
humidity_3pm,Penrith,2976,0.019489247311827957
humidity_3pm,Richmond,2963,0.015524805939925751
humidity_3pm,Walpole,2831,0.012009890498057224
humidity_3pm,BadgerysCreek,2940,0.01054421768707483
humidity_3pm,Woomera,3002,0.008660892738174551
humidity_3pm,PearceRAAF,2774,0.008651766402307137
humidity_3pm,Wollongong,2995,0.006010016694490818
humidity_3pm,Sale,3012,0.0049800796812749
humidity_3pm,NorahHead,2941,0.0047602856171370285
humidity_3pm,Portland,3008,0.004321808510638298
humidity_3pm,Nuriootpa,3014,0.0043132050431320505
humidity_3pm,Hobart,3200,0.0040625
humidity_3pm,CoffsHarbour,2965,0.004047217537942664
humidity_3pm,Sydney,3349,0.003881755747984473
humidity_3pm,Tuggeranong,3010,0.003654485049833887
humidity_3pm,Canberra,3430,0.003498542274052478
humidity_3pm,GoldCoast,2992,0.0033422459893048127
humidity_3pm,MountGambier,3042,0.003287310979618672
humidity_3pm,MelbourneAirport,3021,0.0029791459781529296
humidity_3pm,Melbourne,2447,0.0028606456885982836
humidity_3pm,Brisbane,3173,0.0028364323983611725
humidity_3pm,Williamtown,2565,0.0027290448343079924
humidity_3pm,Perth,3205,0.0024960998439937598
humidity_3pm,Launceston,3040,0.002302631578947368
humidity_3pm,Ballarat,3040,0.001973684210526316
humidity_3pm,Moree,2866,0.0017445917655268667
humidity_3pm,AliceSprings,3043,0.001643115346697338
humidity_3pm,Adelaide,3102,0.0016118633139909735
humidity_3pm,SydneyAirport,3017,0.001325820351342393
humidity_3pm,Mildura,3019,0.001324942033786022
humidity_3pm,Albury,3023,0.0013231888852133643
humidity_3pm,SalmonGums,2967,0.0010111223458038423
humidity_3pm,NorfolkIsland,2976,0.0006720430107526882
humidity_3pm,Uluru,1533,0.0006523157208088715
humidity_3pm,Darwin,3204,0.0006242197253433209
humidity_3pm,PerthAirport,3021,0.00033101621979476995
humidity_3pm,Bendigo,3046,0.00032829940906106366
humidity_3pm,Cairns,3000,0.0
humidity_3pm,Nhil,1581,0.0
humidity_3pm,Townsville,3045,0.0
humidity_3pm,WaggaWagga,2988,0.0
humidity_3pm,Watsonia,3011,0.0
humidity_9am,MountGinini,2919,0.12983898595409388
humidity_9am,Witchcliffe,2964,0.08063427800269905
humidity_9am,Newcastle,2967,0.06066734074823053
humidity_9am,Dartmoor,2955,0.05583756345177665
humidity_9am,Katherine,1571,0.049013367281986
humidity_9am,Cobar,3000,0.038
humidity_9am,Penrith,2976,0.025201612903225805
humidity_9am,Canberra,3430,0.017784256559766762
humidity_9am,Portland,3008,0.016289893617021278
humidity_9am,Richmond,2963,0.01619979750253122
humidity_9am,Albany,3028,0.015191545574636724
