threshold,f1,precision,recall
0.3,0.6764125151883353,0.6241328568425478,0.7382511396601741
0.32,0.6779930876470817,0.6378415899459301,0.7235391628677994
0.34,0.6783335975899794,0.6500417837878903,0.7092001657687526
0.36000000000000004,0.678043504386492,0.6561482400372151,0.7014504765851637
0.38000000000000006,0.6746795209127076,0.6855456217649827,0.664152507252383
0.4000000000000001,0.6729453156844657,0.6975937374905484,0.6499792789059262
0.4200000000000001,0.6727799849672501,0.6981947849342545,0.6491504351429755
0.4400000000000001,0.6664892909405348,0.7166698455082968,0.6228760878574389
0.46000000000000013,0.6591647225652989,0.7355042874642711,0.5971819312059676
0.48000000000000015,0.6550820128529337,0.7441100511252833,0.5850808122668877
0.5000000000000002,0.6528419971042921,0.7478065482559384,0.5792789059262329
0.5200000000000002,0.6419705571057442,0.7650498796009632,0.5530045586406962
0.5400000000000003,0.6394966118102614,0.768586387434555,0.5475341898052217
0.5600000000000003,0.6241525105701634,0.7874502872293416,0.5169498549523415
0.5800000000000003,0.604597999740226,0.8100939784197703,0.48226274347285536
0.6000000000000003,0.6034877667881312,0.8112666200139959,0.48043928719436385
0.6200000000000003,0.581873079204184,0.8324591175563097,0.44724409448818897
0.6400000000000003,0.5785723960449681,0.8352757137270238,0.4425611272275176
0.6600000000000004,0.5530088371440595,0.8559270516717326,0.40845420638209695
0.6800000000000004,0.5478059524481843,0.8596242467210209,0.40198922503108164
0.7000000000000004,0.5390981735159818,0.8657195233730522,0.3914214670534604
