threshold,f1,precision,recall
0.3,0.6760062846027233,0.6160428172086998,0.7489017820140903
0.32,0.6776659496004918,0.6315243072957686,0.7310816411106507
0.34,0.6784929418519472,0.6495697335001327,0.7101118939079983
0.36000000000000004,0.6779537297998743,0.6637024097820478,0.6928305014504765
0.38000000000000006,0.6760328163163059,0.6811088209313086,0.6710319104848737
0.4000000000000001,0.6744950083723691,0.6903119441190507,0.6593866556154165
0.4200000000000001,0.6697143357102235,0.7091439688715954,0.6344384583506009
0.4400000000000001,0.6674043909348442,0.7161584497007695,0.6248653128885205
0.46000000000000013,0.6591455182040779,0.7359599366344729,0.5968503937007874
0.48000000000000015,0.6560295987975489,0.7420873659429768,0.5878574388727725
0.5000000000000002,0.6493414530519757,0.7542772537837245,0.5700372979693328
0.5200000000000002,0.6359232801643997,0.776125641944345,0.5386241193535019
0.5400000000000003,0.6338177079491529,0.7792152832355964,0.5341483630335682
0.5600000000000003,0.6179378351589702,0.7989091148058093,0.5038126813095731
0.5800000000000003,0.6103286384976526,0.8082809510795299,0.49026108578532945
0.6000000000000003,0.6007237635705669,0.8179091688089117,0.4746788230418566
0.6200000000000003,0.5883643172395345,0.8297246322142587,0.455781185246581
0.6400000000000003,0.5840264879269967,0.8332437207158768,0.44956485702445087
0.6600000000000004,0.5683330583512072,0.8445570447858778,0.4282635723166183
0.6800000000000004,0.5440567375886525,0.8623201438848921,0.39738914214670534
0.7000000000000004,0.538810699705958,0.8658592531424901,0.39108992954828015
