threshold,f1,precision,recall
0.3,0.6342072029578686,0.5011542345981821,0.8634461614948005
0.32,0.6398394099248401,0.5123610626526441,0.8517628537100717
0.34,0.6453696485673831,0.5238378099173554,0.8403281269420392
0.36000000000000004,0.6498861788617886,0.5348606910579986,0.8279405062766707
0.38000000000000006,0.6542732418211695,0.5458044862918859,0.8165472096780876
0.4000000000000001,0.6590079923978891,0.558084727251825,0.8044910303683142
0.4200000000000001,0.6630854806009461,0.5699094483498153,0.7926834320752372
0.4400000000000001,0.6664545325979352,0.5812340045018655,0.780958694121059
0.46000000000000013,0.6685552407932012,0.5921876997826365,0.7675353192194556
0.48000000000000015,0.6712928876454131,0.603987943426849,0.7554791399096822
0.5000000000000002,0.6741151065627641,0.6164571742564736,0.7436715416166052
0.5200000000000002,0.6748807174200472,0.627807486631016,0.7295852840038116
0.5400000000000003,0.6757855244645927,0.6395206923332963,0.7164104901189046
0.5600000000000003,0.6762529666340918,0.6519766189816951,0.7024070928450097
0.5800000000000003,0.6752908632332602,0.6632836536540536,0.6877408128599246
0.6000000000000003,0.6738570241064007,0.6760205145311262,0.6717073372830095
0.6200000000000003,0.6718202476267335,0.6891938997821351,0.6553009901810498
0.6400000000000003,0.670223841749089,0.7033277188510038,0.6400961179931226
0.6600000000000004,0.6656468919038752,0.7158933765676411,0.6219911339437378
0.6800000000000004,0.6613053032190834,0.7295811256623013,0.6047147532833409
0.7000000000000004,0.6542878310798296,0.7415376541590134,0.5854082943199238
