threshold,f1,precision,recall
0.3,0.6741551892827575,0.6175243873013685,0.7422214856858764
0.32,0.675577854803807,0.6281247774375045,0.730786758917844
0.34,0.6769776184817967,0.6388602941176471,0.719932054522103
0.36000000000000004,0.6774123284687432,0.6488013958428159,0.7086630484318681
0.38000000000000006,0.6756604381443299,0.6572648568182708,0.6951153830219166
0.4000000000000001,0.6754181491023596,0.6668012434898462,0.6842606786261756
0.4200000000000001,0.6744974116962226,0.6769320647638124,0.6720802088080541
0.4400000000000001,0.6727434227222739,0.6871300816520499,0.6589468450925964
0.46000000000000013,0.6712628865979381,0.6969183427730455,0.6474292579856652
0.48000000000000015,0.6696652765344221,0.707921706213646,0.6353316485064424
0.5000000000000002,0.6660309575553288,0.7165624850885146,0.6221568546215354
0.5200000000000002,0.6626815844085536,0.7273582569943056,0.6085677590421344
0.5400000000000003,0.6580112398210805,0.7371261177921677,0.5942329204126445
0.5600000000000003,0.6518604922430887,0.7459953011533532,0.5788208973774702
0.5800000000000003,0.646200636791332,0.7575909521421806,0.5633674441728467
0.6000000000000003,0.6396943242001403,0.7683281050307889,0.5479554211376725
0.6200000000000003,0.6316619440680055,0.7793044747081712,0.53105191200232
0.6400000000000003,0.6226822772724989,0.791062879029684,0.5134026598168786
0.6600000000000004,0.6132015061089624,0.8031400966183575,0.4959191283092348
0.6800000000000004,0.6002828557959248,0.8159487362050551,0.4747897418900443
0.7000000000000004,0.5846739596739596,0.8285584010943081,0.4517131375067324
