threshold,f1,precision,recall
0.3,0.6738249976452859,0.6178319745751002,0.7409785806023946
0.32,0.6751270008626473,0.6282645925503069,0.7295438538343622
0.34,0.6757109720679103,0.6380401973054554,0.7181091270663297
0.36000000000000004,0.6760887232650796,0.6481453329279416,0.706550109789949
0.38000000000000006,0.6760523665659617,0.6578215027632971,0.6953225338691635
0.4000000000000001,0.6755175517551755,0.6671919828666101,0.6840535277789286
0.4200000000000001,0.6737358616101131,0.6762385742309779,0.6712516054190661
0.4400000000000001,0.6722063643091236,0.6864150617497193,0.6585739735675519
0.46000000000000013,0.6709771658110111,0.6967344753747323,0.6470563864606206
0.48000000000000015,0.6696362286562731,0.7079082221504086,0.635290218336993
0.5000000000000002,0.6655568872908066,0.716785389874265,0.62116253055475
0.5200000000000002,0.6625487499718208,0.7266838097121946,0.6088163400588309
0.5400000000000003,0.6579562646128455,0.7364154138231823,0.594605791937689
0.5600000000000003,0.6520361569285248,0.7448767764943844,0.5797737912748063
0.5800000000000003,0.6468313284456783,0.7568573014991671,0.5647346397646766
0.6000000000000003,0.639891871017571,0.7664642960393178,0.5491983262211543
0.6200000000000003,0.6312865640823951,0.7761257177394983,0.5320048058996562
0.6400000000000003,0.6229105581034008,0.7882785741468984,0.5148941459170568
0.6600000000000004,0.6126384164897833,0.8003474542295871,0.49625056966482994
0.6800000000000004,0.601685847751768,0.8128613735721337,0.47760699341260304
0.7000000000000004,0.585793284000748,0.8246089049338147,0.45424037784314536
