threshold,f1,precision,recall
0.3,0.6744142314490955,0.6174718501429014,0.7429257985665161
0.32,0.6764311698257707,0.6288043284804044,0.7318639433235282
0.34,0.6767767338505322,0.639057610896374,0.7192277416414633
0.36000000000000004,0.6770023790642348,0.6491274759533133,0.7073787131789369
0.38000000000000006,0.6761114022006368,0.6582303315675888,0.6949910925135684
0.4000000000000001,0.6747126201258119,0.6674774993918755,0.6821063098148071
0.4200000000000001,0.6747860845668603,0.6781888182122531,0.6714173260968638
0.4400000000000001,0.6731709381812025,0.6880678376741369,0.658905414923147
0.46000000000000013,0.6719056128490538,0.6994173016584492,0.6464763640883291
0.48000000000000015,0.6697873829731386,0.7094860744242087,0.6342958942702076
0.5000000000000002,0.6668444207439008,0.7190569744597249,0.621701122757592
0.5200000000000002,0.6618493846674947,0.72736748064324,0.6071591332808551
0.5400000000000003,0.6572774267662264,0.7377759438828141,0.5926171438041181
0.5600000000000003,0.6519430082118709,0.7488444587767387,0.5772465509383934
0.5800000000000003,0.6456568933845457,0.7610798650168729,0.5606330529891868
0.6000000000000003,0.6378023580892185,0.7717378515119426,0.543480962837138
0.6200000000000003,0.6296525593719818,0.782627431667077,0.5267017442101338
0.6400000000000003,0.6206913979581522,0.7956592160673793,0.508803911007996
0.6600000000000004,0.6094721899599949,0.8082557502738226,0.48916601068898374
0.6800000000000004,0.5961873580820616,0.8218679478779938,0.4677466130836475
0.7000000000000004,0.5798182998053212,0.8345917334786331,0.44421427683639225
