threshold,f1,precision,recall
0.3,0.6798128089972449,0.6240645787139689,0.7464981351015334
0.32,0.6815538497324959,0.6402505644985068,0.728553667633651
0.34,0.6820018528374037,0.6503025974514153,0.7169498549523415
0.36000000000000004,0.6818997487737768,0.6570857669843222,0.7086614173228346
0.38000000000000006,0.6795714078464695,0.6796981883006509,0.6794446746788231
0.4000000000000001,0.6763518277180763,0.6980200202848701,0.6559883961873187
0.4200000000000001,0.6713283628181939,0.7176476136578004,0.6306257770410277
0.4400000000000001,0.6686639241638347,0.7259928148363919,0.6197264815582263
0.46000000000000013,0.666951919828848,0.7303575832305795,0.6136759220886863
0.48000000000000015,0.6613811329426634,0.7423265411400567,0.596353087443017
0.5000000000000002,0.646022809296954,0.7701353832033042,0.5563613758806465
0.5200000000000002,0.6435144822241596,0.7741521967136697,0.5506009117281393
0.5400000000000003,0.638859634083617,0.7810048505898557,0.5404890178201409
0.5600000000000003,0.6222933008402508,0.8030531350324314,0.5079569001243266
0.5800000000000003,0.6170338265842588,0.8093924510529503,0.4985495234148363
0.6000000000000003,0.6057926270898197,0.821588247817756,0.4797762121840033
0.6200000000000003,0.5970283894932343,0.8297197640117994,0.46626605884790717
0.6400000000000003,0.5850865584573419,0.8398852446305343,0.44890178201409037
0.6600000000000004,0.5710116195825762,0.850754840827043,0.429714048901782
0.6800000000000004,0.5524631305868087,0.8643783640695315,0.40596767509324494
0.7000000000000004,0.5402946645687312,0.8723325635103926,0.39133858267716537
